editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Julianos,+,C,milestone,"T14 direct raw-file read: s23 CompleteQuest resolves a journal/objective chain of field-journal research, samples, experiments, and ten Nirnroot into a repeatable fungiculture result.",BPUFXelzazFollower.esp:C6E975
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Magnus,+,C,milestone,"T14 direct raw-file read: s23 CompleteQuest records the successful disciplined alchemical research result.",BPUFXelzazFollower.esp:C6E975
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Rajhin,+,C,milestone,"T14 direct raw-file read: objectives require stealing the Black-Briar recipe and East Empire Company spices; s40 CompleteQuest records those thefts and tasting all three brewed variants.",BPUFXelzazFollower.esp:F47F25
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Baan Dar,+,S,milestone,"T14 direct raw-file read: s40 resolves successful theft from Black-Briar and the East Empire Company, both strong institutional targets, followed by the shared tasting.",BPUFXelzazFollower.esp:F47F25
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Nocturnal,+,C,milestone,"T14 direct raw-file read: s40 CompleteQuest explicitly records the two successful burglaries.",BPUFXelzazFollower.esp:F47F25
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Sanguine,+,C,milestone,"T14 direct raw-file read: s40 CompleteQuest records waiting through fermentation and tasting three mead variants with Xelzaz.",BPUFXelzazFollower.esp:F47F25
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Zenithar,-,S,milestone,"T14 direct raw-file read: the completed recipe-and-spice theft directly violates Zenithar's honest-commerce profile.",BPUFXelzazFollower.esp:F47F25
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Auri-El,+,m,small,"T14 cross-gen KEEP: the explicit controlled research sequence matches Auri-El's disciplined-study profile; stepped down.",BPUFXelzazFollower.esp:C6E975
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Xarxes,+,m,small,"T14 cross-gen KEEP: the explicit field-journal and experiment sequence matches Xarxes's disciplined-study profile; stepped down.",BPUFXelzazFollower.esp:C6E975
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Hermaeus Mora,+,m,small,"T14 cross-gen KEEP: successful novel research matches Mora's knowledge profile without claiming forbidden lore; stepped down.",BPUFXelzazFollower.esp:C6E975
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Mephala,+,m,small,"T14 cross-gen KEEP: the direct guarded-recipe and spice burglaries match Mephala's theft profile; stepped down.",BPUFXelzazFollower.esp:F47F25
BPUFXelzazMeadQuest,The Good Stuff,40,Stole guarded recipes and spices then brewed and tasted three meads with Xelzaz,"theft_burglary,revel_indulge",Sheogorath,+,m,small,"T14 cross-gen KEEP: tasting three experimental meads is a small revel-indulge beat, not a quest-defining madness claim.",BPUFXelzazFollower.esp:F47F25
