race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Meridia,Boon -- Seeker (Tier 1),10,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Bless_Daedric_Meridia_Seeker,Boon description,Quiet,Narrator,140,200,107,,Passive blessing description; visible whenever the player views active effects.,"Meridia's light stirs in you. Undead recoil a little more sharply, and corruption finds you harder to take.",
Meridia,Boon -- Devoted (Tier 2),11,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Bless_Daedric_Meridia_Devoted,Boon description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,"Meridia's radiance is yours in full. The undead burn before you, and the creeping rot of enchanted corruption struggles against your skin.",
Meridia,Boon -- Champion (Tier 3),12,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Bless_Daedric_Meridia_Champion,Boon description,Quiet,Narrator,140,200,127,,Passive blessing description; visible whenever the player views active effects.,"Meridia names you her cleansing blade. You scourge the undead, and the radiance turns corruption aside before it can take hold.",
Meridia,Price -- Seeker (Tier 1),20,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Price_Daedric_Meridia_Seeker,Price description,Quiet,Narrator,140,200,123,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the radiance: purity demanded. Meridia will not tolerate compromise, and her follower acts before rot spreads.",
Meridia,Price -- Devoted (Tier 2),21,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Price_Daedric_Meridia_Devoted,Price description,Quiet,Narrator,140,200,128,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: intolerance is yours. Meridia presses the war outward; hesitation against the risen finds her regard cooling.,
Meridia,Price -- Champion (Tier 3),22,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Price_Daedric_Meridia_Champion,Price description,Quiet,Narrator,140,200,136,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: the mandate is absolute. The undead are enemy, corruption is enemy. Meridia does not negotiate with what must be burned.",
Meridia,Tier-up -- Seeker,30,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_SeekerEntry,Notification,Noted,Narrator,60,80,40,,HUD corner notification. One per save.,Meridia marks you a Seeker of the light.,
Meridia,Tier-up -- Devoted,31,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_DevotedEntry,Notification,Marked,Narrator,60,80,38,,HUD corner notification. One per save.,Meridia's radiance holds you. Devoted.,
Meridia,Tier-down (lapse),32,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_Lapse,Notification,Noted,Narrator,60,80,58,,HUD corner notification. One per direction per save.,Meridia's light dims in you. The cleansing edge withdraws.,
Meridia,Champion recognition (MessageBox),33,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Msg_Daedric_Meridia_ChampionEntry,MessageBox,Marked,God-voice,280,500,25+235,,MessageBox. One-time on first Champion tier.,"Title: ""Meridia's Cleansing Agent"" Body: ""You have proven you understand the work. The undead are an affront to the living world, and corruption is the rot they spread. You are my instrument. Not a weapon I hold -- you act of your own will, in my name. Carry the light forward.""",
Meridia,Commitment / pact (the gate clears),40,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Msg_Daedric_Meridia_Commitment,MessageBox,Marked,God-voice,280,500,18+226,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Meridia's Covenant"" Body: ""You answered my call. You stood against the risen dead without being forced, and then again, and again -- because that is what you are. The covenant is simple: the undead are enemy. I ask nothing else of you, and nothing less.""",
Meridia,Stigma -- Suspected,50,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_Stigma_Suspected,Notification,Noted,Narrator,60,80,65,,HUD corner notification. On entering Suspected.,Meridia's mark on you is suspected. Some note the zeal and watch.,
Meridia,Stigma -- Known,51,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_Stigma_Known,Notification,Noted,Narrator,60,80,77,,HUD corner notification. On entering Known.,Your Meridia devotion is known. She is Daedric; the light does not change it.,
Meridia,Stigma -- Notorious,52,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_Stigma_Notorious,Notification,Marked,Narrator,60,80,74,,HUD corner notification. On entering Notorious.,You are openly Meridia's. The cleansing mission reads as Daedric zealotry.,
Meridia,Drifting away (neglect),60,"Meridia (Daedric path): Radiant, imperious, absolute; the god of cleansing light who views the undead as affront and corruption as enemy; speaks in declarations, not invitations -- she names the work and expects it done. The path is a covenant to fight on her behalf, not a warmth extended; her register is command, not comfort.",PDV_Notif_Daedric_Meridia_NeglectTexture,Notification,Noted,Player-2nd,60,80,66,,HUD corner notification. One per lapse-band crossing.,You leave the undead unchallenged. Meridia's radiance dims in you.,
